Facility Type,Loc Id,ADO,State Id,County,County State,City,Name,Ownership,Use,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,Elevation,Magnetic Variation,Sectional,Tie In FSS Id,Tie In FSS Name,FSS Toll Free Number,Fuel Types,ATCT,UNICOM,CTAF,ICAO Id
AIRPORT,MLJ,ATL,GA,BALDWIN,GA,MILLEDGEVILLE,BALDWIN COUNTY RGNL,PU,PU,033-09-15.2100N,119355.2140N,083-14-29.0500W,0299669.0500W,384.8,04W,ATLANTA,MCN,MACON,1-800-WX-BRIEF,100LL A+,N,122.975,122.975,KMLJ
AIRPORT,MLS,HLN,MT,CUSTER,MT,MILES CITY,FRANK WILEY FLD,PU,PU,046-25-36.7900N,167136.7910N,105-53-17.6100W,0381197.6110W,2634.2,09E,BILLINGS,GTF,GREAT FALLS,1-800-WX-BRIEF,100LL A,N,123.000,123.000,KMLS
AIRPORT,MLT,NONE,ME,PENOBSCOT,ME,MILLINOCKET,MILLINOCKET MUNI,PU,PU,045-38-52.2000N,164332.2000N,068-41-08.0000W,0247268.0000W,408.1,17W,HALIFAX,BGR,BANGOR,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMLT
AIRPORT,MLU,LNM,LA,OUACHITA,LA,MONROE,MONROE RGNL,PU,PU,032-30-38.0000N,117037.9989N,092-02-10.0800W,0331330.0814W,79.2,03E,MEMPHIS,DRI,DE RIDDER,1-800-WX-BRIEF,100LL A,Y,122.950,118.900,KMLU
AIRPORT,MMH,SFO,CA,MONO,CA,MAMMOTH LAKES,MAMMOTH YOSEMITE,PU,PU,037-37-26.6000N,135446.6000N,118-50-19.5000W,0427819.5000W,7134.8,15E,SAN FRANCISCO,RAL,RIVERSIDE,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMMH
AIRPORT,MMI,MEM,TN,MC MINN,TN,ATHENS,MCMINN COUNTY,PU,PU,035-23-57.1000N,127437.1000N,084-33-42.4000W,0304422.4000W,874.3,03W,ATLANTA,BNA,NASHVILLE,1-800-WX-BRIEF,100LL A+,N,122.800,122.800,KMMI
AIRPORT,MMK,NONE,CT,NEW HAVEN,CT,MERIDEN,MERIDEN MARKHAM MUNI,PU,PU,041-30-31.3700N,149431.3730N,072-49-46.1200W,0262186.1220W,103,14W,NEW YORK,BDR,BRIDGEPORT,1-800-WX-BRIEF,100LL,N,123.050,123.050,KMMK
AIRPORT,MML,DMA,MN,LYON,MN,MARSHALL,SOUTHWEST MINNESOTA RGNL MARSHALL/RYAN FLD,PU,PU,044-27-06.2000N,160026.2000N,095-49-27.9000W,0344967.9000W,1182.8,05E,OMAHA,PNM,PRINCETON,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMML
AIRPORT,MMS,JAN,MS,QUITMAN,MS,MARKS,SELFS,PU,PU,034-13-53.2000N,123233.2000N,090-17-22.4000W,0325042.4000W,161.7,01E,MEMPHIS,GWO,GREENWOOD,1-800-WX-BRIEF,,N,,122.900,KMMS
AIRPORT,MMU,HAR,NJ,MORRIS,NJ,MORRISTOWN,MORRISTOWN MUNI,PU,PU,040-47-57.6200N,146877.6180N,074-24-53.6000W,0267893.5990W,186.6,13W,NEW YORK,MIV,MILLVILLE,1-800-WX-BRIEF,100LL A A+,Y,,118.100,KMMU
